g,concentration
178.1,1.0
178.1,1.0
174.28,2.0
174.28,2.0
171.18,3.0
171.18,3.0
167.95,4.0
167.95,4.0
162.29,5.0
162.29,5.0
158.9,6.0
158.9,6.0
158.4,7.0
158.4,7.0
150.64,8.0
150.64,8.0
148.25,9.0
148.25,9.0
147.16,10.0
147.16,10.0
130.9,15.0
130.9,15.0
